                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70376,                0.66652,                0.92569,                  0.985,                0.91684,                0.95691,                0.80427,                0.59807,                0.57478,                0.86872,             0.00054478,             0.00054478,             0.00054478
                     37,                0.68638,                0.65692,                0.91985,                 0.9806,                0.92807,                0.95713,                0.80992,                0.58147,                0.56325,                0.86423,             0.00051177,             0.00051177,             0.00051177
                     38,                0.67048,                0.63683,                0.93279,                0.97435,                0.93578,                0.95704,                0.81826,                0.56773,                0.56497,                0.85705,             0.00047876,             0.00047876,             0.00047876
                     39,                0.68065,                0.62622,                0.91168,                0.97219,                0.94488,                0.95768,                0.82792,                0.55472,                 0.5583,                0.85104,             0.00044576,             0.00044576,             0.00044576
                     40,                0.66631,                0.62544,                0.92211,                0.96933,                0.94354,                0.95784,                0.82402,                0.55687,                0.56839,                0.85163,             0.00041275,             0.00041275,             0.00041275
                     41,                0.64304,                0.77479,                0.89009,                0.97708,                  0.935,                0.95761,                0.81985,                 0.5581,                0.58482,                0.85252,             0.00037974,             0.00037974,             0.00037974
                     42,                0.60509,                0.71166,                0.87573,                0.98168,                0.92219,                0.95736,                0.81832,                0.56202,                0.61677,                0.85482,             0.00034674,             0.00034674,             0.00034674
                     43,                0.59656,                0.70633,                0.88558,                0.98059,                0.92004,                0.95732,                0.81951,                0.56399,                0.64581,                0.85582,             0.00031373,             0.00031373,             0.00031373
                     44,                0.62241,                0.69899,                 0.8735,                0.99234,                0.91816,                0.95779,                 0.8259,                0.56634,                0.66247,                0.85559,             0.00028072,             0.00028072,             0.00028072
                     45,                0.60476,                0.71897,                0.88977,                0.98589,                0.91754,                0.95797,                0.82588,                0.56158,                0.64176,                0.85409,             0.00024772,             0.00024772,             0.00024772
                     46,                0.59719,                  0.665,                0.87796,                0.99161,                0.91856,                0.95807,                0.82697,                0.55147,                0.61226,                0.85192,             0.00021471,             0.00021471,             0.00021471
                     47,                0.63746,                0.70336,                 0.9035,                0.98101,                  0.931,                0.95849,                0.82722,                0.54242,                 0.5863,                0.84992,              0.0001817,              0.0001817,              0.0001817
                     48,                0.59904,                0.64372,                0.88964,                 0.9854,                0.93101,                0.95845,                0.83297,                0.52768,                0.55771,                0.84791,              0.0001487,              0.0001487,              0.0001487
                     49,                0.57256,                0.65179,                0.88438,                0.98673,                0.93017,                0.95841,                0.83268,                0.52133,                 0.5467,                0.84662,             0.00011569,             0.00011569,             0.00011569
                     50,                0.58386,                0.67522,                0.90886,                0.98814,                 0.9317,                0.95816,                0.83877,                0.51526,                0.53703,                0.84561,             8.2683e-05,             8.2683e-05,             8.2683e-05
