               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.063904,            0.076966,            0.018129,             0.09988,             0.12407,             0.02372,           0.0048998,            0.080439,            0.097229,            0.018893,            0.065034,           0.0010339,           0.0010339
                  37,            0.063443,            0.069388,            0.017006,             0.27375,              0.3693,             0.20747,            0.057585,            0.071484,            0.089371,            0.018686,            0.063989,          0.00098938,          0.00098938
                  38,             0.06146,            0.070405,            0.016955,             0.12507,             0.13528,            0.037063,           0.0079039,            0.076082,            0.088974,            0.018475,            0.062941,          0.00094088,          0.00094088
                  39,            0.063532,             0.07007,            0.018521,             0.32711,               0.384,             0.24013,             0.07108,            0.069619,            0.082245,            0.018179,            0.061888,          0.00088842,          0.00088842
                  40,            0.061316,            0.063665,            0.016671,              0.1913,             0.22556,            0.084903,            0.017043,            0.072016,              0.0802,            0.017902,            0.060832,            0.000832,            0.000832
                  41,            0.059729,            0.070769,            0.015765,             0.37096,             0.46504,             0.33458,            0.083851,            0.065812,             0.07457,            0.017737,            0.059772,          0.00077162,          0.00077162
                  42,            0.059696,            0.067544,            0.017407,             0.24139,             0.26751,             0.11204,            0.019442,             0.07057,            0.075073,            0.017505,            0.058707,          0.00070728,          0.00070728
                  43,            0.057926,            0.068694,             0.01753,             0.42515,             0.50482,             0.39025,             0.11427,            0.062652,            0.069458,            0.017282,            0.057639,          0.00063898,          0.00063898
                  44,            0.058023,            0.069159,            0.015648,             0.34107,             0.34446,             0.19908,            0.036188,            0.067583,            0.070633,             0.01713,            0.056567,          0.00056672,          0.00056672
                  45,            0.056433,             0.07129,            0.016995,             0.45873,             0.51524,             0.42134,             0.12397,            0.063392,            0.067749,            0.017014,             0.05549,           0.0004905,           0.0004905
                  46,            0.059398,             0.07317,            0.016561,             0.33429,             0.33642,             0.19313,            0.036633,            0.066969,            0.068756,            0.016913,             0.05441,          0.00041032,          0.00041032
                  47,            0.057066,            0.066499,            0.015975,             0.48475,             0.52321,             0.44315,             0.10792,            0.062154,            0.065506,            0.016785,            0.053326,          0.00032618,          0.00032618
                  48,            0.056995,             0.06825,            0.017304,              0.4461,             0.47497,             0.37448,            0.085189,            0.062424,            0.064453,            0.016626,            0.052238,          0.00023808,          0.00023808
                  49,            0.054937,            0.065724,            0.017468,              0.5158,             0.54947,             0.49056,             0.13504,            0.060173,            0.062027,            0.016528,            0.051146,          0.00014602,          0.00014602
